FL_DATE,AIRLINE,AIRLINE_DOT,AIRLINE_CODE,DOT_CODE,FL_NUMBER,ORIGIN,ORIGIN_CITY,DEST,DEST_CITY,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,CRS_ELAPSED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,DELAY_DUE_CARRIER,DELAY_DUE_WEATHER,DELAY_DUE_NAS,DELAY_DUE_SECURITY,DELAY_DUE_LATE_AIRCRAFT,Month,Year,Cancelled,alti,drct,dwpf,feel,gust,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,inx_danjerous_1,inx_danjerous_2,inx_danjerous_3,inx_danjerous_4,metar,mslp,p01i,peak_wind_drct,peak_wind_gust,peak_wind_time,relh,sknt,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,snowdepth,station,tmpf,valid,vsby,wxcodes
2020-03-07,American Airlines Inc.,American Airlines Inc.: AA,AA,19805.0,2268.0,JFK,"New York, NY",MIA,"Miami, FL",0 days 06:07:00,604.0,-3.0,16.0,620.0,842.0,11.0,916.0,853.0,-23.0,0.0,,0.0,189.0,169.0,142.0,1089.0,,,,,,3.0,2020.0,False,30.04,360.00,28.00,25.97,23.00,M,M,M,0.4347826086956522,0.4,0.1333333333333333,0.1578947368421052,KJFK 071051Z 36015G23KT 10SM FEW023 SCT050 SCT150 BKN190 02/M02 A3004 RMK AO2 SLP171 T00221022 $,1017.10,0.00,M,M,M,72.43,15.00,FEW,SCT,SCT,BKN,2300.00,5000.00,15000.00,19000.00,M,JFK,36.00,2020-03-07 10:51:00,10.00,M
2020-02-18,Republic Airline,Republic Airline: YX,YX,20452.0,5939.0,JFK,"New York, NY",CMH,"Columbus, OH",0 days 09:46:00,938.0,-8.0,41.0,1019.0,1144.0,5.0,1149.0,1149.0,0.0,0.0,,0.0,123.0,131.0,85.0,483.0,,,,,,2.0,2020.0,False,30.31,100.00,30.00,37.07,M,M,M,M,1.4285714285714286,1.111111111111111,0.8888888888888888,0.0,KJFK 181451Z 10013KT 10SM BKN021 BKN027 OVC045 07/M01 A3031 RMK AO2 RAB19E47 SLP262 P0000 60000 T00671011 58015 $,1026.20,T,M,M,M,57.37,13.00,BKN,BKN,OVC,M,2100.00,2700.00,4500.00,M,M,JFK,44.00,2020-02-18 14:51:00,10.00,M
2019-11-06,Endeavor Air Inc.,Endeavor Air Inc.: 9E,9E,20363.0,3367.0,JFK,"New York, NY",DFW,"Dallas/Fort Worth, TX",0 days 08:30:00,827.0,-3.0,23.0,850.0,1119.0,11.0,1155.0,1130.0,-25.0,0.0,,0.0,265.0,243.0,209.0,1391.0,,,,,,11.0,2019.0,False,30.39,300.00,33.00,43.82,M,M,M,M,0.2,0.0357142857142857,0.0,0.0,KJFK 061251Z 30011KT 10SM FEW050 FEW280 09/01 A3039 RMK AO2 SLP290 T00940006,1029.00,0.00,M,M,M,54.24,11.00,FEW,FEW,M,M,5000.00,28000.00,M,M,M,JFK,49.00,2019-11-06 12:51:00,10.00,M
2020-12-20,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790.0,1853.0,JFK,"New York, NY",SJU,"San Juan, PR",0 days 13:55:00,1351.0,-4.0,9.0,1400.0,1817.0,4.0,1837.0,1821.0,-16.0,0.0,,0.0,222.0,210.0,197.0,1598.0,,,,,,12.0,2020.0,False,30.11,260.00,34.00,28.49,M,M,M,M,3.636363636363636,0.0,0.0,0.0,KJFK 201851Z 26009KT 3SM -RA BR OVC011 02/01 A3011 RMK AO2 SLP195 P0002 T00220011 $,1019.50,0.02,M,M,M,92.35,9.00,OVC,M,M,M,1100.00,M,M,M,M,JFK,36.00,2020-12-20 18:51:00,3.00,-RA BR
2020-01-20,JetBlue Airways,JetBlue Airways: B6,B6,20409.0,34.0,JFK,"New York, NY",BTV,"Burlington, VT",0 days 12:37:00,1250.0,13.0,11.0,1301.0,1347.0,5.0,1348.0,1352.0,4.0,0.0,,0.0,71.0,62.0,46.0,266.0,,,,,,1.0,2020.0,False,30.28,340.00,6.00,17.17,21.00,M,M,M,0.2,0.0,0.0,0.0,KJFK 201651Z 34014G21KT 10SM FEW050 M02/M14 A3028 RMK AO2 PK WND 35027/1640 SLP254 T10171144 $,1025.40,0.00,350.00,27.00,2020-01-20 16:40,37.39,14.00,FEW,M,M,M,5000.00,M,M,M,M,JFK,28.90,2020-01-20 16:51:00,10.00,M
2020-02-21,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790.0,2856.0,JFK,"New York, NY",SLC,"Salt Lake City, UT",0 days 11:05:00,1104.0,-1.0,14.0,1118.0,1351.0,7.0,1430.0,1358.0,-32.0,0.0,,0.0,325.0,294.0,273.0,1990.0,,,,,,2.0,2020.0,False,30.52,360.00,5.00,18.55,M,M,M,M,0.2,0.0,0.0,0.0,KJFK 211551Z 36011KT 10SM FEW050 M02/M15 A3052 RMK AO2 SLP334 T10171150 $,1033.40,0.00,M,M,M,35.55,11.00,FEW,M,M,M,5000.00,M,M,M,M,JFK,28.90,2020-02-21 15:51:00,10.00,M
2020-03-12,JetBlue Airways,JetBlue Airways: B6,B6,20409.0,213.0,JFK,"New York, NY",LGB,"Long Beach, CA",0 days 06:19:00,851.0,152.0,12.0,903.0,1225.0,6.0,932.0,1231.0,179.0,0.0,,0.0,373.0,400.0,382.0,2465.0,152.0,0.0,27.0,0.0,0.0,3.0,2020.0,False,30.12,70.00,35.00,35.59,M,M,M,M,0.6666666666666666,0.0,0.0,0.0,KJFK 120951Z 07004KT 10SM OVC060 04/02 A3012 RMK AO2 SLP200 T00390017,1020.00,0.00,M,M,M,85.76,4.00,OVC,M,M,M,6000.00,M,M,M,M,JFK,39.00,2020-03-12 09:51:00,10.00,M
2019-12-12,JetBlue Airways,JetBlue Airways: B6,B6,20409.0,283.0,JFK,"New York, NY",MCO,"Orlando, FL",0 days 17:59:00,1809.0,10.0,21.0,1830.0,2049.0,13.0,2058.0,2102.0,4.0,0.0,,0.0,179.0,173.0,139.0,944.0,,,,,,12.0,2019.0,False,30.72,150.00,17.10,27.43,M,M,M,M,0.12,0.0,0.0,0.0,KJFK 122251Z 15003KT 10SM BKN250 M01/M08 A3072 RMK AO2 SLP401 T10061083 $,1040.10,0.00,M,M,M,56.14,3.00,BKN,M,M,M,25000.00,M,M,M,M,JFK,30.90,2019-12-12 22:51:00,10.00,M
2020-01-25,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790.0,2688.0,JFK,"New York, NY",PHX,"Phoenix, AZ",0 days 08:05:00,812.0,7.0,32.0,844.0,1119.0,6.0,1149.0,1125.0,-24.0,0.0,,0.0,344.0,313.0,275.0,2153.0,,,,,,1.0,2020.0,False,30.1,60.00,40.00,33.10,M,M,M,M,6.666666666666667,0.0,0.0,0.0,KJFK 251251Z 06013KT 8SM OVC006 05/04 A3010 RMK AO2 SLP192 T00500044,1019.20,0.00,M,M,M,95.82,13.00,OVC,M,M,M,600.00,M,M,M,M,JFK,41.00,2020-01-25 12:51:00,8.00,M
2020-01-21,JetBlue Airways,JetBlue Airways: B6,B6,20409.0,2553.0,JFK,"New York, NY",PBI,"West Palm Beach/Palm Beach, FL",0 days 12:01:00,1209.0,8.0,13.0,1222.0,1444.0,6.0,1503.0,1450.0,-13.0,0.0,,0.0,182.0,161.0,142.0,1028.0,,,,,,1.0,2020.0,False,30.45,330.00,12.00,22.34,M,M,M,M,0.2,0.04,0.0,0.0,KJFK 211651Z 33007KT 10SM FEW050 FEW250 M01/M11 A3045 RMK AO2 SLP311 T10111111,1031.10,0.00,M,M,M,46.59,7.00,FEW,FEW,M,M,5000.00,25000.00,M,M,M,JFK,30.00,2020-01-21 16:51:00,10.00,M
